V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_4456	Q7TP17	3.0800000000000004e-27	Splicing factor U2AF 26 kDa subunit (Liver regeneration-related protein LRRG157/LRRG158) (U2 auxiliary factor 26) (U2 small nuclear RNA auxiliary factor 1-like protein 4) (U2AF1-like 4)	Rattus norvegicus (Rat)	mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0005681; GO:0005737; GO:0016607; GO:0030628; GO:0046872; GO:0089701
Ab_contig_4466	P62334	3.9299999999999995e-40	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	Mus musculus (Mouse)	positive regulation of inclusion body assembly [GO:0090261]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent ERAD pathway [GO:0030433]	GO:0000502; GO:0005524; GO:0005634; GO:0008540; GO:0016234; GO:0016887; GO:0022624; GO:0030433; GO:0031597; GO:0036402; GO:0042802; GO:0043161; GO:0045899; GO:0090261
Ab_contig_4475	A0A1L8EV45	2.47e-61	Actin-related protein 3-B	Xenopus laevis (African clawed frog)		GO:0003779; GO:0005524; GO:0005634; GO:0005737; GO:0005885; GO:0035861; GO:0042995
Ab_contig_4509	Q5RBP9	1.1400000000000001e-26	Macrophage-expressed gene 1 protein (Macrophage gene 1 protein) (Mpg-1) (Perforin-2) (P-2)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	antibacterial innate immune response [GO:0140367]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; disruption by host of symbiont membrane [GO:0052337]	GO:0030659; GO:0031410; GO:0042742; GO:0045335; GO:0050829; GO:0050830; GO:0052337; GO:0140367
Ab_contig_4518	B3EWZ6	5.2099999999999994e-23	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_4526	Q501J6	9.069999999999998e-55	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17)	Mus musculus (Mouse)	alternative mRNA splicing, via spliceosome [GO:0000380]; androgen receptor signaling pathway [GO:0030521]; defense response to virus [GO:0051607]; epithelial to mesenchymal transition [GO:0001837]; gene expression [GO:0010467]; immune system process [GO:0002376]; intracellular estrogen receptor signaling pathway [GO:0030520]; miRNA metabolic process [GO:0010586]; miRNA transcription [GO:0061614]; myoblast differentiation [GO:0045445]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of skeletal muscle cell differentiation [GO:2001014]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA-mediated gene silencing [GO:0031047]; rRNA processing [GO:0006364]	GO:0000380; GO:0000381; GO:0001837; GO:0002376; GO:0003713; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005730; GO:0005829; GO:0006357; GO:0006364; GO:0010467; GO:0010586; GO:0016607; GO:0016887; GO:0030520; GO:0030521; GO:0031047; GO:0031490; GO:0045445; GO:0045944; GO:0051607; GO:0061614; GO:0106222; GO:1990904; GO:2001014
Ab_contig_4527	P04988	2.4099999999999998e-24	Cysteine proteinase 1 (EC 3.4.22.-)	Dictyostelium discoideum (Social amoeba)	hyperosmotic response [GO:0006972]; proteolysis involved in protein catabolic process [GO:0051603]	GO:0004197; GO:0005615; GO:0005764; GO:0006972; GO:0051603
Ab_contig_4550	G5ECU1	6.2e-49	Skp1-related protein	Caenorhabditis elegans	female sex differentiation [GO:0046660]; negative regulation of centrosome duplication [GO:0010826]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of gene expression [GO:0010629]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; nervous system development [GO:0007399]; positive regulation of apoptotic process [GO:0043065]; regulation of protein stability [GO:0031647]; regulation of synapse maturation [GO:0090128]; regulation of synapse pruning [GO:1905806]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0005634; GO:0005737; GO:0006511; GO:0007399; GO:0010629; GO:0010826; GO:0019005; GO:0031146; GO:0031647; GO:0043065; GO:0043518; GO:0046660; GO:0090128; GO:0097602; GO:1902230; GO:1905806
Ab_contig_4556	Q6P878	3.9399999999999997e-38	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]	GO:0001732; GO:0003743; GO:0005852; GO:0006413; GO:0016282; GO:0033290
Ab_contig_4563	B1H3C9	9.440000000000001e-36	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit)	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	protein glycosylation [GO:0006486]; protein N-linked glycosylation via asparagine [GO:0018279]	GO:0006486; GO:0008250; GO:0018279
Ab_contig_4565	Q9V3H2	2.21e-58	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory complex subunit p37B) (26S proteasome regulatory subunit rpn11) (Yippee-interacting protein 5)	Drosophila melanogaster (Fruit fly)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]	GO:0000502; GO:0005654; GO:0005829; GO:0005838; GO:0008237; GO:0008541; GO:0016579; GO:0043161; GO:0046872; GO:0070628; GO:0140492
Ab_contig_4587	O35593	2.34e-53	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (MAD1)	Mus musculus (Mouse)	double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein K63-linked deubiquitination [GO:0070536]; regulation of proteasomal protein catabolic process [GO:0061136]; response to ethanol [GO:0045471]	GO:0000502; GO:0000724; GO:0004175; GO:0006303; GO:0008237; GO:0008541; GO:0016579; GO:0022624; GO:0031597; GO:0043161; GO:0045471; GO:0046872; GO:0061133; GO:0061136; GO:0070536; GO:0070628; GO:0140492
Ab_contig_4590	Q9D3S9	1.4499999999999998e-23	Probable serine carboxypeptidase CPVL (EC 3.4.16.-)	Mus musculus (Mouse)	proteolysis [GO:0006508]	GO:0004185; GO:0006508
Ab_contig_4594	Q7SXP0	2.37e-38	Vesicle-trafficking protein SEC22b-B (SEC22 vesicle-trafficking protein homolog B-B)	Danio rerio (Zebrafish) (Brachydanio rerio)	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; vesicle fusion with Golgi apparatus [GO:0048280]	GO:0000139; GO:0005484; GO:0005789; GO:0005793; GO:0006888; GO:0006890; GO:0012507; GO:0015031; GO:0031201; GO:0033116; GO:0042470; GO:0048280
Ab_contig_4601	Q7KN62	5.07e-31	Transitional endoplasmic reticulum ATPase TER94 (EC 3.6.4.6) (Valosin-containing protein homolog)	Drosophila melanogaster (Fruit fly)	autophagosome maturation [GO:0097352]; autophagosome-lysosome fusion [GO:0061909]; cellular response to virus [GO:0098586]; dendrite morphogenesis [GO:0048813]; endoplasmic reticulum membrane fusion [GO:0016320]; endoplasmic reticulum organization [GO:0007029]; Golgi organization [GO:0007030]; larval midgut cell programmed cell death [GO:0035096]; lysosomal membrane organization [GO:0097212]; lysosome organization [GO:0007040]; microtubule cytoskeleton organization [GO:0000226]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of smoothened signaling pathway [GO:0045879]; oogenesis [GO:0048477]; pole cell formation [GO:0007279]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of viral entry into host cell [GO:0046598]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; proteolysis [GO:0006508]; regulation of neuron apoptotic process [GO:0043523]; regulation of pole plasm oskar mRNA localization [GO:0007317]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000226; GO:0005524; GO:0005634; GO:0005737; GO:0005765; GO:0005886; GO:0006508; GO:0006511; GO:0007029; GO:0007030; GO:0007040; GO:0007279; GO:0007317; GO:0016320; GO:0016887; GO:0031965; GO:0032436; GO:0035096; GO:0043161; GO:0043186; GO:0043523; GO:0043525; GO:0044754; GO:0045169; GO:0045879; GO:0046598; GO:0046716; GO:0048477; GO:0048813; GO:0061909; GO:0090090; GO:0097212; GO:0097352; GO:0098586
Ab_contig_4617	Q7SZE5	2.57e-47	Protein transport protein Sec23A (SEC23-related protein A)	Danio rerio (Zebrafish) (Brachydanio rerio)	cartilage development [GO:0051216]; COPII-coated vesicle cargo loading [GO:0090110]; embryonic neurocranium morphogenesis [GO:0048702]; pectoral fin morphogenesis [GO:0035138]; protein targeting [GO:0006605]	GO:0005096; GO:0005789; GO:0005829; GO:0006605; GO:0008270; GO:0019898; GO:0030127; GO:0035138; GO:0048702; GO:0051216; GO:0070971; GO:0090110
Ab_contig_4619	Q9YGD2	1.07e-30	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	Columba livia (Rock dove)	tricarboxylic acid cycle [GO:0006099]	GO:0000166; GO:0004775; GO:0004776; GO:0005739; GO:0006099
Ab_contig_4621	P30741	2.07e-24	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	Culex tarsalis (Encephalitis mosquito)	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	GO:0004807; GO:0006094; GO:0006096
Ab_contig_4637	P50430	3.61e-22	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	Rattus norvegicus (Rat)	anterior head development [GO:0097065]; autophagy [GO:0006914]; central nervous system development [GO:0007417]; colon epithelial cell migration [GO:0061580]; dermatan sulfate catabolic process [GO:0030209]; positive regulation of neuron projection development [GO:0010976]; regulation of epithelial cell migration [GO:0010632]; response to estrogen [GO:0043627]; response to methylmercury [GO:0051597]; response to nutrient [GO:0007584]; response to pH [GO:0009268]	GO:0003943; GO:0004065; GO:0005739; GO:0005764; GO:0005791; GO:0005794; GO:0006914; GO:0007417; GO:0007584; GO:0008484; GO:0009268; GO:0009986; GO:0010632; GO:0010976; GO:0030209; GO:0043627; GO:0043890; GO:0046872; GO:0051597; GO:0061580; GO:0097065
Ab_contig_4646	Q7SIH1	2.04e-26	Alpha-2-macroglobulin (Alpha-2-M)	Bos taurus (Bovine)	negative regulation of peptidase activity [GO:0010466]	GO:0002020; GO:0004866; GO:0004867; GO:0005615; GO:0010466
Ab_contig_4665	Q8R081	6.3300000000000004e-21	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	Mus musculus (Mouse)	mRNA processing [GO:0006397]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]	GO:0000381; GO:0000785; GO:0000976; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006397; GO:0035770; GO:0043484; GO:0045120; GO:0045202; GO:0045892; GO:0048471; GO:0097157; GO:1990715; GO:1990904
Ab_contig_4670	P13395	1.2399999999999998e-31	Spectrin alpha chain	Drosophila melanogaster (Fruit fly)	actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]; axon midline choice point recognition [GO:0016199]; central nervous system development [GO:0007417]; fusome organization [GO:0045478]; germarium-derived female germ-line cyst formation [GO:0030727]; germarium-derived oocyte fate determination [GO:0007294]; long-term strengthening of neuromuscular junction [GO:0042062]; maintenance of presynaptic active zone structure [GO:0048790]; negative regulation of microtubule depolymerization [GO:0007026]; neuromuscular synaptic transmission [GO:0007274]; oocyte construction [GO:0007308]; plasma membrane organization [GO:0007009]; positive regulation of hippo signaling [GO:0035332]; regulation of cell shape [GO:0008360]; regulation of synapse organization [GO:0050807]	GO:0003779; GO:0005509; GO:0005516; GO:0005794; GO:0005886; GO:0005938; GO:0007009; GO:0007026; GO:0007274; GO:0007294; GO:0007308; GO:0007417; GO:0008017; GO:0008360; GO:0016199; GO:0016323; GO:0016324; GO:0016328; GO:0030036; GO:0030054; GO:0030727; GO:0030864; GO:0031594; GO:0035332; GO:0042062; GO:0042995; GO:0045169; GO:0045170; GO:0045478; GO:0048790; GO:0050807; GO:0051015; GO:0051693
Ab_contig_4673	O46629	2.27e-39	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]	Bos taurus (Bovine)	fatty acid beta-oxidation [GO:0006635]	GO:0003988; GO:0005739; GO:0005741; GO:0005743; GO:0005783; GO:0006635; GO:0050633
Ab_contig_4676	Q54TR1	4.47e-36	Counting factor associated protein D	Dictyostelium discoideum (Social amoeba)	immune response [GO:0006955]; negative regulation of asexual reproduction [GO:1903665]; positive regulation of chemorepellent activity [GO:1903669]; protein localization to plasma membrane [GO:0072659]; proteolysis involved in protein catabolic process [GO:0051603]; sorocarp morphogenesis [GO:0031288]	GO:0004197; GO:0005576; GO:0005615; GO:0005764; GO:0006955; GO:0031288; GO:0031410; GO:0051603; GO:0072659; GO:1903665; GO:1903669
Ab_contig_4706	Q6DCH7	5.680000000000001e-44	Methanethiol oxidase (MTO) (EC 1.8.3.4) (Selenium-binding protein 1-B)	Xenopus laevis (African clawed frog)	protein transport [GO:0015031]	GO:0005634; GO:0005829; GO:0008430; GO:0015031; GO:0016020; GO:0018549
Ab_contig_4708	Q08890	5.8e-22	Iduronate 2-sulfatase (EC 3.1.6.13) (Alpha-L-iduronate sulfate sulfatase)	Mus musculus (Mouse)	dermatan sulfate catabolic process [GO:0030209]; glycosaminoglycan catabolic process [GO:0006027]; heparan sulfate proteoglycan catabolic process [GO:0030200]	GO:0004423; GO:0005509; GO:0005737; GO:0005764; GO:0006027; GO:0008484; GO:0030200; GO:0030209; GO:0043202
Ab_contig_4726	Q6P878	1.33e-33	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]	GO:0001732; GO:0003743; GO:0005852; GO:0006413; GO:0016282; GO:0033290
Ab_contig_4751	P04069	2.52e-28	Carboxypeptidase B (EC 3.4.17.2)	Astacus astacus (Noble crayfish) (Astacus fluviatilis)	proteolysis [GO:0006508]	GO:0004181; GO:0005576; GO:0006508; GO:0008270
Ab_contig_4754	Q147X3	2.0700000000000002e-29	N-alpha-acetyltransferase 30 (EC 2.3.1.256) (N-acetyltransferase 12) (N-acetyltransferase MAK3 homolog) (NatC catalytic subunit)	Homo sapiens (Human)	N-terminal peptidyl-methionine acetylation [GO:0017196]	GO:0004596; GO:0005634; GO:0005737; GO:0005829; GO:0017196; GO:0031417
Ab_contig_4757	Q5ZJK8	5.179999999999999e-62	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)	Gallus gallus (Chicken)	protein folding [GO:0006457]	GO:0005524; GO:0005832; GO:0006457; GO:0016887; GO:0051082; GO:0140662
Ab_contig_4758	Q8VDM4	3.16e-25	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97)	Mus musculus (Mouse)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	GO:0000502; GO:0005634; GO:0005838; GO:0008540; GO:0022624; GO:0030234; GO:0034515; GO:0042176; GO:0043161
Ab_contig_4760	Q5RFU0	4.08e-30	Sialate O-acetylesterase (EC 3.1.1.53) (Sialic acid-specific 9-O-acetylesterase)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)		GO:0005764; GO:0106330; GO:0106331
Ab_contig_4790	P41386	1.9499999999999998e-42	Tubulin beta chain (Beta-tubulin)	Haliotis discus (Abalone) (Nordotis discus)	microtubule-based process [GO:0007017]	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
Ab_contig_4815	A1XQU1	9.01e-50	Proteasome subunit beta type-7 (EC 3.4.25.1)	Sus scrofa (Pig)	proteasomal protein catabolic process [GO:0010498]	GO:0004175; GO:0004298; GO:0005634; GO:0005829; GO:0005839; GO:0010498; GO:0016604; GO:0019774
Ab_contig_4825	Q99MH5	1.2399999999999999e-28	Nucleoside diphosphate kinase homolog 5 (NDK-H 5) (NDP kinase homolog 5) (Rsph23) (nm23-M5)	Mus musculus (Mouse)	cilium assembly [GO:0060271]; cilium movement [GO:0003341]; CTP biosynthetic process [GO:0006241]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; establishment of localization in cell [GO:0051649]; GTP biosynthetic process [GO:0006183]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; nucleoside diphosphate phosphorylation [GO:0006165]; response to reactive oxygen species [GO:0000302]; spermatid development [GO:0007286]; UTP biosynthetic process [GO:0006228]; ventricular system development [GO:0021591]	GO:0000302; GO:0003341; GO:0003351; GO:0004550; GO:0005576; GO:0005929; GO:0006165; GO:0006183; GO:0006228; GO:0006241; GO:0007286; GO:0021591; GO:0036126; GO:0051649; GO:0060271; GO:1902176
Ab_contig_4832	O35130	8.93e-49	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1)	Mus musculus (Mouse)	blastocyst development [GO:0001824]; nucleologenesis [GO:0017126]; rRNA base methylation [GO:0070475]	GO:0001824; GO:0005654; GO:0005694; GO:0005730; GO:0017126; GO:0019843; GO:0032040; GO:0042802; GO:0070037; GO:0070475
Ab_contig_4833	Q8BH95	8.57e-30	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)	Mus musculus (Mouse)	fatty acid beta-oxidation [GO:0006635]	GO:0004165; GO:0004300; GO:0005739; GO:0005759; GO:0006635; GO:0043956; GO:0120092
Ab_contig_4840	Q9PT92	7.59e-35	Catalase (EC 1.11.1.6)	Danio rerio (Zebrafish) (Brachydanio rerio)	hydrogen peroxide catabolic process [GO:0042744]; response to copper ion [GO:0046688]; response to hydrogen peroxide [GO:0042542]	GO:0004096; GO:0005737; GO:0005739; GO:0005777; GO:0020037; GO:0042542; GO:0042744; GO:0046688; GO:0046872
Ab_contig_4858	Q9Z2W0	2.2300000000000003e-27	Aspartyl aminopeptidase (EC 3.4.11.21)	Mus musculus (Mouse)	proteolysis [GO:0006508]	GO:0004177; GO:0005829; GO:0006508; GO:0008237; GO:0008270; GO:0042802
Ab_contig_4863	B0BM36	1.1799999999999999e-48	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	tricarboxylic acid cycle [GO:0006099]	GO:0005743; GO:0005749; GO:0006099; GO:0008177; GO:0009055; GO:0046872; GO:0048039; GO:0051537; GO:0051538; GO:0051539; GO:0102040
Ab_contig_4877	Q9C0K3	9.849999999999999e-46	Actin-related protein 3C (Actin-related protein 11)	Homo sapiens (Human)		GO:0003779; GO:0005524; GO:0070062
Ab_contig_4885	P50396	3.74e-32	Rab GDP dissociation inhibitor alpha (Rab GDI alpha) (Guanosine diphosphate dissociation inhibitor 1) (GDI-1)	Mus musculus (Mouse)	negative regulation of axonogenesis [GO:0050771]; negative regulation of protein targeting to membrane [GO:0090315]; positive regulation of axon extension [GO:0045773]; protein transport [GO:0015031]; Rab protein signal transduction [GO:0032482]; response to calcium ion [GO:0051592]; vesicle-mediated transport [GO:0016192]	GO:0005093; GO:0005096; GO:0005737; GO:0005794; GO:0015031; GO:0016192; GO:0030424; GO:0030496; GO:0031267; GO:0032482; GO:0032991; GO:0043005; GO:0043025; GO:0043209; GO:0045773; GO:0050771; GO:0051592; GO:0090315; GO:0099523
Ab_contig_4886	P00731	1.9699999999999998e-23	Carboxypeptidase A1 (EC 3.4.17.1)	Rattus norvegicus (Rat)	leukotriene metabolic process [GO:0006691]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; response to cadmium ion [GO:0046686]	GO:0004181; GO:0005615; GO:0006508; GO:0006691; GO:0008238; GO:0008270; GO:0046686; GO:0051603
Ab_contig_4899	Q9GMB0	3.54e-59	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)	Sus scrofa (Pig)	protein N-linked glycosylation via asparagine [GO:0018279]	GO:0008250; GO:0018279; GO:0042470
Ab_contig_4900	Q8WPJ2	1.76e-30	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (Beta-mannanase) (Endo-beta-1,4-mannanase) (Man5A) (ManA)	Mytilus edulis (Blue mussel)	mannan catabolic process [GO:0046355]	GO:0016985; GO:0046355
Ab_contig_4910	Q91WM2	3.63e-26	Haloacid dehalogenase-like hydrolase domain-containing 5 (Cat eye syndrome critical region protein 5 homolog)	Mus musculus (Mouse)	glycerophospholipid biosynthetic process [GO:0046474]	GO:0005739; GO:0046474
Ab_contig_4912	P26686	2.2199999999999998e-39	Serine-arginine protein 55 (SRP55) (52 kDa bracketing protein) (B52 protein) (Protein enhancer of deformed)	Drosophila melanogaster (Fruit fly)	defense response to virus [GO:0051607]; mitotic cell cycle [GO:0000278]; mitotic G1/S transition checkpoint signaling [GO:0044819]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of gene expression [GO:0010468]; regulation of mRNA 3'-end processing [GO:0031440]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of transcriptional start site selection at RNA polymerase II promoter [GO:0001178]; RNA splicing [GO:0008380]	GO:0000278; GO:0000381; GO:0000398; GO:0000791; GO:0001178; GO:0003723; GO:0003729; GO:0005634; GO:0005700; GO:0008380; GO:0010468; GO:0016607; GO:0031440; GO:0044819; GO:0048024; GO:0051607; GO:0071011; GO:0071013
Ab_contig_4922	Q920A5	5.860000000000001e-21	Retinoid-inducible serine carboxypeptidase (EC 3.4.16.-) (Serine carboxypeptidase 1)	Mus musculus (Mouse)	blood vessel diameter maintenance [GO:0097746]; negative regulation of blood pressure [GO:0045776]; proteolysis [GO:0006508]	GO:0004185; GO:0005576; GO:0005829; GO:0006508; GO:0045776; GO:0097746
Ab_contig_4929	Q8BFR4	5.649999999999999e-23	N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase) (G6S)	Mus musculus (Mouse)	keratan sulfate catabolic process [GO:0042340]	GO:0005539; GO:0005764; GO:0008449; GO:0008484; GO:0042340; GO:0043199; GO:0046872
Ab_contig_4934	Q8AVM5	1.3500000000000001e-27	V-type proton ATPase 116 kDa subunit a1 (V-ATPase 116 kDa subunit a1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1)	Xenopus laevis (African clawed frog)		GO:0000220; GO:0030665; GO:0030672; GO:0042470; GO:0046961
Ab_contig_4937	Q8N0N3	1.41e-21	Beta-1,3-glucan-binding protein (GBP)	Penaeus monodon (Giant tiger prawn)	carbohydrate metabolic process [GO:0005975]; innate immune response [GO:0045087]	GO:0001872; GO:0004553; GO:0005576; GO:0005975; GO:0045087
Ab_contig_4938	P38919	1.99e-32	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	Homo sapiens (Human)	associative learning [GO:0008306]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to selenite ion [GO:0072715]; embryonic cranial skeleton morphogenesis [GO:0048701]; exploration behavior [GO:0035640]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of selenocysteine incorporation [GO:1904570]; negative regulation of selenocysteine insertion sequence binding [GO:1904574]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation [GO:0045727]; regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000622]; regulation of translation at postsynapse, modulating synaptic transmission [GO:0099578]; response to organic cyclic compound [GO:0014070]; rRNA processing [GO:0006364]	GO:0000184; GO:0000398; GO:0003723; GO:0003724; GO:0003729; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006364; GO:0006406; GO:0008143; GO:0008306; GO:0014070; GO:0016020; GO:0016607; GO:0016887; GO:0017148; GO:0030425; GO:0035145; GO:0035368; GO:0035613; GO:0035640; GO:0043021; GO:0043025; GO:0045182; GO:0045727; GO:0048701; GO:0071006; GO:0071013; GO:0072715; GO:0090394; GO:0098794; GO:0098978; GO:0099578; GO:1904570; GO:1904574; GO:1990416; GO:2000622
Ab_contig_4945	Q3B8N0	1.74e-39	Ufm1-specific protease 2 (UfSP2) (EC 3.4.22.-)	Xenopus laevis (African clawed frog)	proteolysis [GO:0006508]	GO:0005634; GO:0005737; GO:0005783; GO:0006508; GO:0071567
Ab_contig_4946	Q9HCJ0	2.2600000000000003e-27	Trinucleotide repeat-containing gene 6C protein	Homo sapiens (Human)	miRNA-mediated gene silencing [GO:0035195]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]	GO:0000932; GO:0003723; GO:0005654; GO:0005829; GO:0035195; GO:0035278; GO:0060213; GO:1900153
Ab_contig_4957	Q7T2A5	2.52e-26	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)	Danio rerio (Zebrafish) (Brachydanio rerio)	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]	GO:0001732; GO:0003743; GO:0005852; GO:0006413; GO:0016282; GO:0033290
